series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
1.0,1.0,0.0,1.0,45.0,1.0,1.0,8.0,120.0,1.1327155,0.9643138,1.0,0.0,0.50702685
0.0,0.0,1.0,0.0,44.0,1.0,0.0,-7.0,3160.0,-3.4477642,0.29585186,1.0,0.0,1.3491983
1.0,1.0,0.0,1.0,66.0,1.0,1.0,16.0,1293.0,1.9610369,0.92942554,1.0,0.0,-0.5543581
0.0,0.0,1.0,0.0,67.0,2.0,0.0,-23.0,456.0,-3.0643954,0.00040118129,0.0,1.0,-0.5273835
1.0,1.0,0.0,1.0,22.0,1.0,2.0,26.0,120.0,1.127055,0.99976295,1.0,0.0,2.6674876
1.0,1.0,0.0,1.0,36.0,2.0,5.0,0.0,3357.0,2.6220195,0.45292708,0.0,1.0,1.1834707
1.0,1.0,0.0,1.0,50.0,1.0,3.0,7.0,2586.0,2.3203235,0.66994286,1.0,0.0,0.13229702
0.0,0.0,1.0,0.0,6.0,1.0,0.0,5.0,120.0,-3.609544,0.95076436,1.0,0.0,3.324093
1.0,1.0,0.0,1.0,77.0,10.0,39.0,-5.0,81.0,2.940709,0.13271743,0.0,1.0,-0.18008016
1.0,1.0,0.0,1.0,6.0,6.0,6.0,-5.0,20.0,4.3975444,0.3334971,0.0,1.0,2.6024556
0.0,0.0,1.0,0.0,85.0,20.0,0.0,-9.0,138.0,0.41456667,0.021279436,0.0,1.0,-1.328809
1.0,1.0,0.0,1.0,81.0,1.0,1.0,10.0,2514.0,2.026179,0.70741034,1.0,0.0,-1.3550941
0.0,0.0,1.0,0.0,59.0,6.0,0.0,-1.0,38.0,-1.7110521,0.27553624,0.0,1.0,0.17210665
1.0,1.0,0.0,1.0,18.0,1.0,11.0,0.0,2650.0,2.1280956,0.5113241,1.0,0.0,3.4006243
1.0,1.0,0.0,1.0,41.0,11.0,14.0,-25.0,855.0,4.3337917,0.0022003497,0.0,1.0,0.071018636
1.0,1.0,0.0,1.0,66.0,1.0,2.0,-28.0,450.0,2.2077904,9.049613e-05,1.0,0.0,-0.16258009
1.0,1.0,0.0,1.0,45.0,9.0,14.0,-28.0,311.0,3.6012006,8.974564e-05,0.0,1.0,0.3442072
1.0,1.0,0.0,1.0,38.0,1.0,3.0,7.0,3036.0,2.4959276,0.7306976,1.0,0.0,1.1613187
0.0,0.0,1.0,0.0,1.0,1.0,-1.0,-10.0,2504.0,-4.4024167,0.2904575,1.0,0.0,4.771168
1.0,1.0,0.0,1.0,16.0,4.0,5.0,-23.0,1332.0,2.5850031,0.010243849,0.0,1.0,2.826674
1.0,1.0,0.0,1.0,40.0,3.0,40.0,16.0,1034.0,6.6478844,0.96721184,0.0,1.0,0.35211575
1.0,1.0,0.0,1.0,35.0,1.0,35.0,18.0,140.0,5.244874,0.9984092,0.0,1.0,1.7551261
0.0,0.0,1.0,0.0,20.0,1.0,0.0,-17.0,1863.0,-3.3195262,0.120268464,1.0,0.0,2.9226434
0.0,0.0,1.0,0.0,70.0,5.0,0.0,-13.0,565.0,-2.9706323,0.037056185,0.0,1.0,-0.65606016
1.0,1.0,0.0,1.0,18.0,9.0,18.0,-16.0,235.0,4.479759,0.010671322,0.0,1.0,2.520241
1.0,1.0,0.0,1.0,37.0,1.0,3.0,-14.0,838.0,2.0359783,0.070666686,1.0,0.0,1.6274519
0.0,0.0,1.0,0.0,38.0,2.0,0.0,-7.0,120.0,-2.398024,0.13122202,0.0,1.0,1.0740296
1.0,1.0,0.0,1.0,2.0,1.0,2.0,7.0,2904.0,2.7033594,0.7792174,1.0,0.0,4.296641
1.0,1.0,0.0,1.0,49.0,9.0,10.0,-4.0,108.0,2.9221406,0.16775642,0.0,1.0,0.1360659
1.0,1.0,0.0,1.0,36.0,1.0,2.0,17.0,1594.0,1.7388438,0.9395477,1.0,0.0,2.1721103
0.0,0.0,1.0,0.0,71.0,1.0,-1.0,-17.0,1259.0,-3.4974918,0.047066454,1.0,0.0,-0.8365977
1.0,1.0,0.0,1.0,5.0,1.0,2.0,17.0,1000.0,2.1718333,0.98288697,1.0,0.0,4.036666
0.0,0.0,1.0,0.0,45.0,2.0,0.0,-24.0,826.0,-2.7581744,0.0024322188,0.0,1.0,0.31943852
0.0,0.0,1.0,0.0,47.0,1.0,-2.0,-31.0,372.0,-3.389514,0.000116251984,1.0,0.0,0.9951284
1.0,1.0,0.0,1.0,41.0,1.0,4.0,-6.0,121.0,1.9500751,0.16912575,1.0,0.0,1.0388612
0.0,0.0,1.0,0.0,24.0,10.0,0.0,-6.0,63.0,-2.2325947,0.23339528,0.0,1.0,2.2325947
1.0,1.0,0.0,1.0,11.0,1.0,2.0,0.0,3204.0,1.4988326,0.5781016,1.0,0.0,3.6229267
0.0,0.0,1.0,0.0,14.0,4.0,0.0,-14.0,1606.0,-2.8900456,0.15519156,0.0,1.0,2.8745792
1.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,1370.0,2.5152025,0.94285065,0.0,1.0,4.4847975
